AC	CNL	DEN	GR	PE	RLLD	code	ÑµÁ·²âÊÔ·ÖÇø
157.45000	1.71000	2.72000	16.30000	4.94000	3.97716	0	0
159.10000	1.88000	2.72000	13.60000	4.86000	4.02049	0	1
157.92000	1.61000	2.72000	16.87000	5.10000	4.07493	0	2
157.73000	1.13000	2.71000	12.65000	4.84000	3.93013	0	0
161.26000	1.88000	2.71000	11.51000	5.01000	3.98971	0	1
158.26000	1.18000	2.68000	16.88000	4.91000	4.04014	0	2
158.46000	1.16000	2.71000	14.60000	4.96000	4.17797	0	0
155.31000	1.69000	2.71000	16.39000	4.97000	4.12601	0	1
158.97000	2.01000	2.73000	12.87000	5.01000	3.85882	0	2
157.38000	1.85000	2.69000	13.73000	5.06000	4.12410	0	0
155.95000	0.64000	2.72000	18.52000	5.00000	3.98750	0	1
156.28000	0.90000	2.73000	14.27000	5.01000	4.13638	0	2
157.36000	0.68000	2.71000	16.01000	5.07000	4.12033	0	0
156.17000	0.76000	2.73000	10.31000	5.04000	4.06575	0	1
155.52000	0.85000	2.71000	10.44000	4.87000	4.01913	0	2
156.17000	0.59000	2.72000	15.61000	4.95000	4.12468	0	0
155.32000	0.84000	2.72000	10.41000	5.00000	4.10096	0	1
158.29000	0.79000	2.72000	19.59000	5.11000	3.89918	0	2
157.59000	2.18000	2.72000	12.28000	5.02000	4.16885	0	0
157.42000	0.81000	2.69000	12.77000	4.80000	3.96921	0	1
155.81000	1.86000	2.73000	16.25000	4.80000	3.95883	0	2
156.25000	0.83000	2.68000	11.93000	4.90000	4.05361	0	0
160.78000	1.78000	2.74000	9.09000	5.10000	4.03557	0	1
157.96000	2.31000	2.70000	21.18000	4.98000	4.09055	0	2
155.06000	1.59000	2.73000	17.63000	5.15000	3.95470	0	0
155.59000	1.41000	2.73000	11.81000	5.03000	4.18438	0	1
157.64000	0.65000	2.75000	11.27000	4.86000	4.00760	0	2
159.52000	2.06000	2.73000	20.19000	4.83000	4.10409	0	0
157.25000	1.41000	2.73000	10.97000	5.00000	4.21928	0	1
158.09000	1.09000	2.71000	14.59000	5.03000	4.25282	0	2
156.25000	0.68000	2.71000	12.92000	4.93000	4.19998	0	0
155.96000	1.26000	2.70000	10.84000	4.79000	4.12364	0	1
156.52000	0.54000	2.69000	10.77000	4.93000	3.86059	0	2
155.39000	1.44000	2.73000	11.36000	5.06000	4.18761	0	0
155.82000	1.85000	2.75000	18.13000	4.87000	4.13268	0	1
154.75000	1.74000	2.72000	20.14000	5.03000	4.17236	0	2
157.00000	1.00000	2.69000	15.41000	5.16000	4.16433	0	0
158.00000	0.89000	2.70000	13.01000	4.71000	4.02631	0	1
158.48000	1.22000	2.72000	22.58000	5.06000	3.80454	0	2
