整租,西直门,【整租】西直门,【整租】西直门 乐乎城市青年社区 1室1厅,4888,http://bj.58.com/pinpaigongyu/31950161511212x.shtml?psid=158177367197956643865403155
合租,孙河,康营家园6期,【合租】孙河 康营家园6期 3室主卧,2280,http://bj.58.com/pinpaigongyu/31596281465280x.shtml?psid=158177367197956643865403155
整租,国贸,【整租】国贸,【整租】国贸 复地国际公寓 1室0厅,6500,http://bj.58.com/pinpaigongyu/31527703797037x.shtml?psid=158177367197956643865403155
整租,孙河,康营家园17期,【整租】孙河 康营家园17期 2室1厅,4800,http://bj.58.com/pinpaigongyu/31551891388344x.shtml?psid=158177367197956643865403155
整租,酒仙桥,怡思苑,【整租】酒仙桥 怡思苑 1室0厅,5361,http://bj.58.com/pinpaigongyu/31714484725565x.shtml?psid=158177367197956643865403155
合租,西北旺,大牛坊(一期),【合租】西北旺 大牛坊(一期) 3室主卧,1500,http://bj.58.com/pinpaigongyu/32034970978253x.shtml?psid=158177367197956643865403155
合租,西北旺,大牛坊(一期),【合租】西北旺 大牛坊(一期) 3室主卧,1600,http://bj.58.com/pinpaigongyu/32026194762948x.shtml?psid=158177367197956643865403155
整租,广渠门,广渠门外大街小区,【整租】广渠门 广渠门外大街小区 1室1厅,13500,http://bj.58.com/pinpaigongyu/31560945365819x.shtml?psid=158177367197956643865403155
整租,金融街,金融街附近的整租,【整租】金融街 金融街附近的整租 1室0厅,5800,http://bj.58.com/pinpaigongyu/31086656584644x.shtml?psid=158177367197956643865403155
整租,芍药居,芍药居乐乎城市青,【整租】芍药居 芍药居乐乎城市青 1室1厅,3100,http://bj.58.com/pinpaigongyu/31962091346602x.shtml?psid=158177367197956643865403155
合租,北关,永顺南街136号,【合租】北关 永顺南街136号 4室次卧,1390,http://bj.58.com/pinpaigongyu/31351113782186x.shtml?psid=158177367197956643865403155
整租,乐乎社区,总部基地,【整租】乐乎社区 总部基地 城乡总部基地店,2200-2400,http://bj.58.com/pinpaigongyu/32005948445647x.shtml?psid=158177367197956643865403155
合租,常营,常营民族家园,【合租】常营 常营民族家园 3室主卧,2160,http://bj.58.com/pinpaigongyu/31637995727309x.shtml?psid=158177367197956643865403155
合租,大望路,【合租】大望路,【合租】大望路 外企公寓 3室主卧,3460,http://bj.58.com/pinpaigongyu/31649170676138x.shtml?psid=158177367197956643865403155
合租,定福庄,泰福苑二区,【合租】定福庄 泰福苑二区 3室主卧,2860,http://bj.58.com/pinpaigongyu/31638538036021x.shtml?psid=158177367197956643865403155
整租,乐乎公寓,百子湾,【整租】乐乎公寓 百子湾 南花园店,2200-2800,http://bj.58.com/pinpaigongyu/31497248104518x.shtml?psid=158177367197956643865403155
合租,永定门,华龙美晟,【合租】永定门 华龙美晟 3室主卧,2900,http://bj.58.com/pinpaigongyu/31683800847662x.shtml?psid=158177367197956643865403155
合租,潘家园,华威西里,【合租】潘家园 华威西里 3室主卧,2860,http://bj.58.com/pinpaigongyu/31593951906857x.shtml?psid=158177367197956643865403155
合租,清河,阳光南里,【合租】清河 阳光南里 5室主卧,2260,http://bj.58.com/pinpaigongyu/31872356345007x.shtml?psid=158177367197956643865403155
合租,清河,阳光南里,【合租】清河 阳光南里 2室主卧,2750,http://bj.58.com/pinpaigongyu/31872322675777x.shtml?psid=158177367197956643865403155
