DEPT	CODE_COAL	Lay	AC	GR	CILD	DEN	CLL8	RT	AT10	AT20	AT30	AT60	AT90
1970.0	0	Y6	252.986	120.818	69.710	2.482	79.355	14.361	12.606	13.628	14.959	15.067	14.361
1970.1	0	Y6	251.681	118.385	66.442	2.489	77.452	15.059	12.913	14.020	15.474	15.724	15.059
1970.2	0	Y6	253.748	118.066	64.632	2.492	78.165	15.475	12.795	14.105	15.398	15.852	15.475
1970.3	0	Y6	259.890	118.458	64.419	2.488	81.658	15.524	12.265	13.869	14.948	15.570	15.524
1970.4	0	Y6	270.699	119.163	65.309	2.469	86.890	15.315	11.538	13.457	14.418	15.125	15.315
1970.5	2	Y6	286.352	120.163	66.303	2.429	91.947	15.084	10.887	13.103	14.070	14.779	15.084
1970.6	2	Y6	306.317	121.281	65.831	2.368	93.901	15.191	10.650	13.138	14.191	14.852	15.191
1970.7	2	Y6	328.571	119.414	61.195	2.288	88.075	16.396	11.389	14.225	15.427	16.030	16.396
1970.8	2	Y6	350.081	113.383	53.105	2.190	76.115	19.129	13.370	16.727	18.152	18.715	19.129
1970.9	2	Y6	368.807	103.861	43.140	2.080	61.123	24.023	17.029	21.217	22.952	23.541	24.023
1971.0	2	Y6	383.648	91.694	32.940	1.967	46.079	31.558	22.588	28.099	30.426	31.058	31.558
1971.1	1	Y6	394.160	77.580	24.421	1.859	34.197	41.845	29.852	37.401	41.035	41.539	41.845
1971.2	1	Y6	400.363	61.638	18.679	1.758	26.899	54.917	37.867	48.661	56.675	55.685	54.917
1971.3	1	Y6	403.943	46.187	14.840	1.669	22.093	69.105	46.113	59.433	74.862	71.064	69.105
1971.4	1	Y6	405.943	33.032	12.320	1.596	18.566	82.298	54.672	67.335	90.216	84.004	82.298
1971.5	1	Y6	407.047	22.958	10.810	1.537	15.966	92.937	63.127	71.011	99.338	92.223	92.937
1971.6	1	Y6	407.951	16.034	10.003	1.488	14.280	100.076	70.198	70.129	101.943	95.294	100.076
1971.7	1	Y6	409.588	13.362	9.511	1.448	13.487	105.231	74.195	67.203	102.574	96.444	105.231
1971.8	1	Y6	412.275	13.618	9.080	1.416	12.954	110.260	77.261	64.894	103.618	97.888	110.260
1971.9	1	Y6	415.953	14.747	8.746	1.392	12.532	114.408	79.832	63.645	104.709	99.349	114.408
1972.0	1	Y6	420.389	15.307	8.631	1.372	12.347	115.906	81.006	63.101	104.931	99.873	115.906
1972.1	1	Y6	425.187	14.592	8.876	1.354	12.593	112.706	79.424	62.737	103.323	98.396	112.706
1972.2	1	Y6	429.738	12.781	9.602	1.336	13.402	104.462	74.761	61.860	98.825	94.013	104.462
1972.3	1	Y6	433.791	10.875	10.725	1.318	14.738	93.918	68.229	60.236	92.581	87.936	93.918
1972.4	1	Y6	437.277	9.364	12.155	1.300	16.727	83.047	60.445	57.828	85.940	81.468	83.047
1972.5	1	Y6	440.154	8.480	13.843	1.282	19.436	72.830	52.058	54.658	78.992	74.896	72.830
1972.6	1	Y6	442.380	8.431	15.771	1.265	22.768	63.687	44.214	50.838	70.424	67.443	63.687
1972.7	1	Y6	443.419	9.589	18.084	1.251	26.357	55.686	38.222	46.284	59.156	58.136	55.686
1972.8	1	Y6	442.615	11.679	20.932	1.241	30.248	48.325	33.381	41.153	48.448	48.974	48.325
1972.9	1	Y6	438.790	14.546	24.585	1.237	35.004	41.320	28.943	35.684	39.537	40.858	41.320
1973.0	1	Y6	430.621	18.518	29.402	1.244	41.265	34.601	24.596	30.106	32.281	33.787	34.601
1973.1	1	Y6	416.833	24.411	35.800	1.263	49.610	28.232	20.347	24.665	26.238	27.515	28.232
1973.2	1	Y6	395.772	35.181	44.465	1.298	60.729	22.884	16.718	20.072	21.445	22.383	22.884
1973.3	1	Y6	369.818	48.315	54.788	1.352	73.569	18.656	13.844	16.461	17.807	18.463	18.656
1973.4	1	Y6	341.911	59.534	65.686	1.437	86.560	15.477	11.703	13.777	15.240	15.674	15.477
1973.5	1	Y6	314.744	66.684	75.858	1.641	97.972	13.280	10.259	11.966	13.614	13.867	13.280
1973.6	1	Y6	291.152	70.266	83.667	1.872	105.764	11.976	9.465	10.954	12.694	12.806	11.976
1973.7	3	Y6	274.365	72.109	87.291	2.050	107.554	11.459	9.298	10.671	12.302	12.324	11.459
1973.8	3	Y6	263.226	74.380	87.064	2.203	103.859	11.489	9.644	10.916	12.326	12.283	11.489
1973.9	3	Y6	256.185	77.252	83.618	2.325	95.988	11.985	10.480	11.634	12.775	12.676	11.985
