No.	Well	Top	Bot	Code	AC 	CNL 	DEN 	GR 	PE 	RLLD 	SAC_XG_NEW 	POR 	SOG 	SH 	CAL 
1	30-2	3506.500	3507.400	1	157.6783	11.1831	2.9214	29.2114	2.3596	231.9193	331.4408	0.5167	-9999.5000	-9999.5000	25.7747
2	30-2	3520.000	3520.700	0	185.7911	23.2159	2.5283	111.2703	3.0729	74.6418	398.8034	0.1000	-9999.5000	-9999.5000	23.0868
3	30-2	3525.200	3526.900	1	154.7281	7.5000	2.8026	21.0543	3.7633	1198.1863	287.3633	0.5904	-9999.5000	-9999.5000	23.4776
4	30-2	3530.300	3532.200	1	156.3329	9.8469	2.8226	18.8874	3.6796	322.8002	285.8732	0.6197	-9999.5000	-9999.5000	22.4570
5	30-2	3532.200	3533.400	0	190.6628	14.1156	2.7704	79.0839	3.4072	649.2233	314.0109	0.1055	-9999.5000	-9999.5000	22.9228
6	30-2	3534.000	3535.100	1	153.6604	7.4737	2.8044	34.0353	3.7406	426.5365	291.3314	0.1000	-9999.5000	-9999.5000	22.3037
7	30-2	3537.000	3537.600	0	189.5607	14.6020	2.8223	100.0464	3.9464	163.7117	314.7870	0.1000	-9999.5000	-9999.5000	22.6513
8	30-2	3557.700	3559.400	4	173.8933	11.5031	2.6675	23.7490	3.4599	32.4895	320.0738	7.1704	40.3434	-9999.5000	20.1800
9	33-2	3536.400	3537.800	7	163.2011	11.5863	2.7312	24.5065	3.3726	404.4442	296.6627	2.5533	48.1978	-9999.5000	22.6365
10	33-2	3538.900	3540.300	8	174.7957	11.7667	2.6780	20.5213	3.1513	141.1191	310.7442	6.3739	68.7289	-9999.5000	22.1677
11	33-2	3542.300	3542.600	4	162.0408	7.9103	2.8137	25.4997	3.4055	235.2917	292.0540	2.6547	27.2097	-9999.5000	22.2102
12	33-2	3543.700	3544.900	0	183.1340	12.8786	2.7927	105.9765	3.1928	180.2075	315.6945	0.1000	-9999.5000	-9999.5000	23.1238
13	33-2	3551.600	3553.300	0	178.0156	12.4802	2.8008	92.7760	3.4834	362.9019	313.1849	0.1000	-9999.5000	-9999.5000	22.3408
14	33-2	3562.600	3564.000	1	156.4837	8.2485	2.8229	39.1027	3.0965	420.7130	286.0282	0.1000	-9999.5000	-9999.5000	23.1593
15	33-2	3572.900	3575.100	7	171.9796	11.2642	2.7535	19.8002	3.3620	60.4973	301.1728	7.4710	52.4659	-9999.5000	23.0019
16	33-2	3575.700	3576.600	1	154.1269	8.4355	2.7732	25.4528	3.3909	648.4707	286.0065	1.0672	-9999.5000	-9999.5000	23.0614
17	33-2	3578.700	3579.100	7	161.4798	6.7496	2.7852	23.2068	3.4994	496.6668	290.5136	3.5782	40.3428	-9999.5000	23.1862
18	33-2	3584.300	3585.500	0	210.0028	16.5615	2.5063	132.5852	2.6115	192.7744	361.5612	0.1000	-9999.5000	-9999.5000	23.5050
19	33-2	3588.300	3589.900	3	161.5742	2.6717	2.7128	33.3908	4.5479	8492.2557	307.1902	0.1000	-9999.5000	-9999.5000	22.3769
20	33-2	3591.300	3592.800	7	164.7869	7.7354	2.7577	15.7316	3.2668	1191.0416	287.1961	3.6609	60.3650	-9999.5000	22.7141
21	33-2	3599.700	3600.300	0	212.7469	16.3110	2.5797	119.7776	2.9153	244.8381	338.2566	0.1000	-9999.5000	-9999.5000	23.1631
22	33-2	3604.800	3605.400	0	199.7966	16.5940	2.6619	126.7773	3.0481	224.6861	324.5341	0.1000	-9999.5000	-9999.5000	22.8700
23	33-2	3605.700	3606.500	7	166.0139	7.0399	2.7089	22.3498	3.2002	1072.2119	287.3151	4.6477	64.5012	-9999.5000	22.8683
24	33-2	3610.200	3614.700	3	154.7055	3.4918	2.7153	22.9134	4.5593	29816.1419	302.2439	0.1000	-9999.5000	-9999.5000	22.7978
25	33-6	3506.500	3507.400	1	155.6879	7.1973	2.8095	29.9158	4.4472	273.6622	298.1709	0.1000	-9999.5000	-9999.5000	21.8433
26	33-6	3514.900	3515.400	0	189.6262	7.0560	2.5668	58.6655	3.3118	211.4728	329.2647	0.1000	-9999.5000	-9999.5000	21.9063
27	33-6	3516.300	3517.700	1	157.9816	6.7113	2.7845	21.2201	3.9459	311.5232	292.3822	0.1000	-9999.5000	-9999.5000	21.6888
28	33-6	3522.500	3523.100	1	161.9803	6.7969	2.8004	15.7599	3.3480	365.9401	287.0290	1.7757	6.1762	-9999.5000	21.8451
29	33-6	3524.100	3524.700	0	179.8927	13.5829	2.5970	73.6093	2.8691	199.2976	331.0147	0.2660	-9999.5000	-9999.5000	21.8564
30	33-6	3535.400	3536.500	3	172.0646	5.3712	2.7495	52.5301	4.5319	603.0942	319.8545	0.1000	-9999.5000	-9999.5000	21.6222
31	33-6	3548.800	3551.200	8	171.7329	10.5844	2.7199	16.7507	3.4979	62.8995	299.9501	7.3562	59.2732	-9999.5000	22.0981
