No.,Well,Dep,Dist,Code,AC,CNL,DEN,GR,PE,RLLD
1,46-27C2,3488.6,0.004,0,157.449,1.714,2.723,16.303,4.943,9487.71
2,71-2,3575.8,0.01,0,156.589,0.985,2.694,13.336,5.011,10252.104
3,43-46,3340.7,0.013000000000000001,0,155.519,1.185,2.701,12.347,5.043,9167.337
4,72-04,3468.1,0.013999999999999999,0,158.235,1.253,2.719,9.705,5.079,8163.5
5,46-10,3325.2,0.016,0,161.607,1.726,2.727,13.294,4.884,10322.24
6,43-46,3340.0,0.017,0,156.467,1.034,2.694,12.472,5.108,8954.524
7,60-09,3575.8,0.019,0,156.549,1.711,2.688,17.62,4.937,7356.168
8,72-04,3471.9,0.02,0,161.481,1.621,2.729,12.14,4.859,8319.002
9,46-4,3436.4,0.022000000000000002,0,154.975,0.784,2.715,9.807,4.958,9943.308
10,70-04,3586.2,0.023,0,156.51,0.698,2.736,11.949,4.853,10222.826
11,46-4,3436.1,0.024,0,158.804,1.382,2.717,23.359,5.1,10524.318
12,53-08,3454.5,0.025,0,156.048,1.768,2.73,16.317,4.986,15982.486
13,46-27C2,3485.9,0.026000000000000002,0,158.073,0.813,2.711,19.451,5.127,7273.766
14,46-10,3334.1,0.027000000000000003,0,159.892,2.246,2.722,13.948,4.789,12173.971
15,54-3,3552.1,0.027999999999999997,0,155.286,1.719,2.715,19.758,4.997,6514.51
16,46-27C2,3488.5,0.028999999999999998,0,157.493,0.943,2.714,15.701,4.92,17665.941
17,46-43,3335.5,0.03,0,158.413,2.39,2.693,20.288,4.844,9937.581
18,45-34,3439.8,0.031,0,159.755,2.172,2.698,21.237,4.811,10552.299
19,71-2,3574.5,0.032,0,155.951,1.323,2.697,15.263,5.04,17604.727
20,60-09,3575.9,0.033,0,156.608,1.797,2.706,18.427,4.749,7299.567
21,47-38C4,3424.4,0.034,0,156.944,1.112,2.691,11.55,4.875,16826.672
22,43-46,3344.5,0.035,0,156.192,1.289,2.697,10.644,4.761,13751.433
23,47-44,3515.7,0.036000000000000004,0,153.686,1.538,2.721,10.754,4.992,15281.714
24,79-06,3458.0,0.037000000000000005,0,155.706,0.862,2.689,9.46,5.107,7276.457
25,41-22C3,3489.5,0.038,0,156.165,2.014,2.726,22.102,5.132,13367.586
26,44-45,3280.2,0.039,0,156.796,1.584,2.687,14.098,4.984,5266.159
27,42-12,3318.9,0.04,0,155.445,1.48,2.744,11.132,5.051,6071.61
28,60-1,3433.4,0.040999999999999995,0,160.324,1.769,2.712,9.163,4.871,5593.215
29,64-05,3534.4,0.042,0,160.422,2.475,2.734,14.92,4.828,6680.14
30,64-05,3557.1,0.043,0,156.32,0.62,2.725,11.36,5.102,5866.201
31,49-25,3437.4,0.044000000000000004,0,155.535,0.937,2.715,9.362,4.765,6788.429
32,41-22C3,3487.3,0.045,0,157.551,0.88,2.735,17.726,4.947,19658.68
33,43-21,3378.0,0.046,0,160.155,0.568,2.765,16.547,4.875,11592.157
34,46-6C1,3398.0,0.047,0,161.257,1.258,2.715,13.132,5.116,5172.229
35,64-01,3507.2,0.048,0,158.872,1.286,2.734,13.299,4.788,5261.743
36,43-21,3385.4,0.049,0,155.252,0.599,2.72,14.138,5.258,11811.332
37,44-36,3368.9,0.05,0,156.599,1.319,2.689,13.732,4.638,10430.665
38,43-46,3359.9,0.05,0,159.029,2.225,2.724,13.439,4.934,4778.756
39,51-10,3485.0,0.052000000000000005,0,158.307,2.176,2.661,20.072,4.834,12209.172
40,45-34,3455.5,0.053,0,156.528,1.008,2.659,15.937,4.781,12729.913
