,authors,authors_orgn,journal,key,keywords,refer_key,title,url,year
0,谢俊|孟宁宁|张金亮|姜建伟|曾俊|,山东省沉积成矿作用与沉积矿产重点实验室|山东科技大学地质学院|北京师范大学资源学院|中国石化河南油田分公司勘探开发研究院|,中国海洋大学学报(自然科学版),8e7e601e-833d-11e8-8daf-408d5c0cc128,下二门油田|成岩作用|孔隙结构|储层特征|,,下二门油田储层成岩作用类型及微观孔隙结构特征,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:QDHY.0.2012-Z1-018,2012
1,李群|郭建华|郭宇航|,中南大学地学与环境工程学院|中南大学地学与环境工程学院 湖南长沙410083|,沉积与特提斯地质,92184ae8-833d-11e8-bccb-408d5c0cc128,孔隙结构|成岩作用|成岩模式|储层性质|华池油田|,8e7e601e-833d-11e8-8daf-408d5c0cc128,华池油田华152区长3油层组砂岩的成岩作用与孔隙演化,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:QDHY.0.2012-Z1-018,2008
2,刘林玉|王震亮|张龙|,西北大学大陆动力学重点实验室西北大学地质系|西北大学大陆动力学重点实验室西北大学地质系 西安710069|,沉积学报,945ad752-833d-11e8-a600-408d5c0cc128,成岩作用|成岩相|孔隙结构|镇北地区|鄂尔多斯盆地|,8e7e601e-833d-11e8-8daf-408d5c0cc128,鄂尔多斯盆地镇北地区长3砂岩的成岩作用及其对储层的影响,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:QDHY.0.2012-Z1-018,2006
3,张廷鹏|张廷飞|孙秀英|康玲珍|郑立莲|石莉莉|张君|,河南油田分公司第一采油厂|河南油田分公司第一采油厂 河南 桐柏 474780|,石油天然气学报(江汉石油学院学报),97cd296c-833d-11e8-a9b7-408d5c0cc128,下二门油田|地质构造|含油气性|增储增产|,8e7e601e-833d-11e8-8daf-408d5c0cc128,下二门油田局部地质构造再认识,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:QDHY.0.2012-Z1-018,2005
4,张金亮|梁杰|杜桂林|,中国海洋大学海洋地球科学学院|中国海洋大学海洋地球科学学院 山东青岛　266003|,西北地质,9bbdb54c-833d-11e8-a7f1-408d5c0cc128,安塞油田|绿泥石环边|有机包裹体|次生孔隙|成岩模式|储层性质|,8e7e601e-833d-11e8-8daf-408d5c0cc128,安塞油田长2油层成岩作用及其对储层物性的影响,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:QDHY.0.2012-Z1-018,2004
5,张丽霞|李民|,新疆石油管理局准东勘探开发研究所!阜康市831511|,矿物岩石,9dc0cfa6-833d-11e8-81a7-408d5c0cc128,准噶尔盆地|成岩作用|孔隙|,8e7e601e-833d-11e8-8daf-408d5c0cc128,准东下侏罗统三工河组砂岩成岩作用及其对孔隙的影响,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:QDHY.0.2012-Z1-018,2000
6,赵跃华|赵新军|翁大丽|台怀忠|,河南石油勘探局勘探开发研究院|,石油学报,9f5b0548-833d-11e8-a184-408d5c0cc128,注水开发|后期|储层|非均质性|剩余油分布|,8e7e601e-833d-11e8-8daf-408d5c0cc128,注水开发后期下二门油田储层特征,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:QDHY.0.2012-Z1-018,1999
7,李群|郭建华|郭宇航|,中南大学地学与环境工程学院|中南大学地学与环境工程学院 湖南长沙410083|,沉积与特提斯地质,a27cecb0-833d-11e8-8c85-408d5c0cc128,孔隙结构|成岩作用|成岩模式|储层性质|华池油田|,8e7e601e-833d-11e8-8daf-408d5c0cc128,华池油田华152区长3油层组砂岩的成岩作用与孔隙演化,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:QDHY.0.2012-Z1-018,2008
8,刘林玉|王震亮|张龙|,西北大学大陆动力学重点实验室西北大学地质系|西北大学大陆动力学重点实验室西北大学地质系 西安710069|,沉积学报,a4755dde-833d-11e8-9a0f-408d5c0cc128,成岩作用|成岩相|孔隙结构|镇北地区|鄂尔多斯盆地|,8e7e601e-833d-11e8-8daf-408d5c0cc128,鄂尔多斯盆地镇北地区长3砂岩的成岩作用及其对储层的影响,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:QDHY.0.2012-Z1-018,2006
9,张廷鹏|张廷飞|孙秀英|康玲珍|郑立莲|石莉莉|张君|,河南油田分公司第一采油厂|河南油田分公司第一采油厂 河南 桐柏 474780|,石油天然气学报(江汉石油学院学报),a607ff58-833d-11e8-9514-408d5c0cc128,下二门油田|地质构造|含油气性|增储增产|,8e7e601e-833d-11e8-8daf-408d5c0cc128,下二门油田局部地质构造再认识,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:QDHY.0.2012-Z1-018,2005
10,赵跃华|赵新军|翁大丽|台怀忠|,河南石油勘探局勘探开发研究院|,石油学报,a7842454-833d-11e8-979b-408d5c0cc128,注水开发|后期|储层|非均质性|剩余油分布|,8e7e601e-833d-11e8-8daf-408d5c0cc128,注水开发后期下二门油田储层特征,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:QDHY.0.2012-Z1-018,1999
11,薛欢欢|张金亮|李景哲|孙中强|于涛|王广群|,山东科技大学地球科学与工程学院|北京师范大学资源学院|,中国科技论文,aa7c51f0-833d-11e8-98e2-408d5c0cc128,东濮凹陷|文79区块|沙河街组|层序地层格架|沉积相分布|,,东濮凹陷文79块沙二下亚段高分辨率层序地层结构模型研究,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,2015
12,刘洛夫|徐敬领|高鹏|邹长春|王远征|徐新宇|,中国石油大学 油气资源与探测国家重点实验室|中国石油大学地球科学学院|中国地质大学 地下信息探测技术与仪器教育部重点实验室|中国地质大学地球物理与信息技术院|中国石油大庆油田有限责任公司第二采油厂地质大队|中国石油冀东油田公司陆上油田作业区工艺研究所|中国石油海外勘探开发分公司|,石油与天然气地质,adfeb142-833d-11e8-b064-408d5c0cc128,测井数据|滤波分析|等时对比|地层划分|,aa7c51f0-833d-11e8-98e2-408d5c0cc128,综合预测误差滤波分析方法在地层划分及等时对比中的应用,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,2013
13,高红灿|郑荣才|陈发亮|韩福民|刘云|,"中国石化中原油田博士后科研工作站|中国石化中原油田分公司物探研究院|成都理工大学""油气藏地质及开发工程""国家重点实验室|",石油与天然气地质,afea1c50-833d-11e8-9608-408d5c0cc128,层序地层|沙河街组|古近系|东濮凹陷|渤海湾盆地|,aa7c51f0-833d-11e8-98e2-408d5c0cc128,渤海湾盆地东濮凹陷古近系沙河街组层序地层,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,2011
14,黄捍东|彭勇民|罗群|,中国石油大学(北京)CNPC物探重点实验室|中国石油大学(北京)CNPC物探重点实验室 北京102200|,油气地质与采收率,b1d5ccfe-833d-11e8-aa94-408d5c0cc128,超短期旋回|高分辨率层序地层|沙二段下亚段|东濮凹陷|,aa7c51f0-833d-11e8-98e2-408d5c0cc128,东濮凹陷文南油田文138断块沙二段下亚段层序地层,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,2007
15,熊运斌|王德发|田世澄|李春玉|高有瑞|谭学群|,中国地质大学能源地质系|中国石油化工集团公司中原油田分公司勘探开发科学研究院 北京100083中国石油化工集团公司中原油田分公司勘探开发科学研究院|河南濮阳457001|北京100083|,地质科技情报,b3db9176-833d-11e8-b4cc-408d5c0cc128,文南油田|沉积环境|地球化学|古生物|微相|,aa7c51f0-833d-11e8-98e2-408d5c0cc128,文南油田沙二下亚段沉积微相特征研究,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,2003
16,赵祥春|纪友亮|赵俊青|,同济大学|石油大学|石油大学 东营|,油气地质与采收率,b5c8ba1e-833d-11e8-ab00-408d5c0cc128,层序地层学|模式|下第三系|沙三段|东濮凹陷|,aa7c51f0-833d-11e8-98e2-408d5c0cc128,东濮凹陷下第三系沙三段高频层序地层学模式,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,2003
17,郑鸿稳|,中原油田分公司勘探事业部 河南濮阳457001|,石油学报,b79c0ab8-833d-11e8-b89d-408d5c0cc128,东濮凹陷|沙三段|层序地层学模式|储层分布|岩性油气藏|,aa7c51f0-833d-11e8-98e2-408d5c0cc128,东濮凹陷下第三系层序地层学模式,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,2002
18,Timothy A.Cross|,Colorado School of Mines!USA|,地学前缘,b9c7ed4c-833d-11e8-aeae-408d5c0cc128,陆相盆地|地层控制|储层特征|河道砂岩|,aa7c51f0-833d-11e8-98e2-408d5c0cc128,地层因素对陆相沉积储层特征的控制(英文),http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,2000
19,邓宏文|王洪亮|李熙喆|,中国地质大学|北京石油勘探开发科学研究院|,石油与天然气地质,bb70a1ba-833d-11e8-bdcc-408d5c0cc128,层序地层|基准面旋回|识别|对比技术|等时对比|应用|,aa7c51f0-833d-11e8-98e2-408d5c0cc128,层序地层地层基准面的识别、对比技术及应用,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,1996
20,邓宏文|,中国地质大学|,石油与天然气地质,bce5c224-833d-11e8-bcda-408d5c0cc128,高分辨率|层序地层学|基准面|体积划分|相分异|等时对比|,aa7c51f0-833d-11e8-98e2-408d5c0cc128,美国层序地层研究中的新学派──高分辨率层序地层学,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,1995
21,刘洛夫|徐敬领|高鹏|邹长春|王远征|徐新宇|,中国石油大学 油气资源与探测国家重点实验室|中国石油大学地球科学学院|中国地质大学 地下信息探测技术与仪器教育部重点实验室|中国地质大学地球物理与信息技术院|中国石油大庆油田有限责任公司第二采油厂地质大队|中国石油冀东油田公司陆上油田作业区工艺研究所|中国石油海外勘探开发分公司|,石油与天然气地质,c0176e58-833d-11e8-ba64-408d5c0cc128,测井数据|滤波分析|等时对比|地层划分|,aa7c51f0-833d-11e8-98e2-408d5c0cc128,综合预测误差滤波分析方法在地层划分及等时对比中的应用,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,2013
22,高红灿|郑荣才|陈发亮|韩福民|刘云|,"中国石化中原油田博士后科研工作站|中国石化中原油田分公司物探研究院|成都理工大学""油气藏地质及开发工程""国家重点实验室|",石油与天然气地质,c1ce1b38-833d-11e8-922a-408d5c0cc128,层序地层|沙河街组|古近系|东濮凹陷|渤海湾盆地|,aa7c51f0-833d-11e8-98e2-408d5c0cc128,渤海湾盆地东濮凹陷古近系沙河街组层序地层,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,2011
23,黄捍东|彭勇民|罗群|,中国石油大学(北京)CNPC物探重点实验室|中国石油大学(北京)CNPC物探重点实验室 北京102200|,油气地质与采收率,c3a5a1c6-833d-11e8-b104-408d5c0cc128,超短期旋回|高分辨率层序地层|沙二段下亚段|东濮凹陷|,aa7c51f0-833d-11e8-98e2-408d5c0cc128,东濮凹陷文南油田文138断块沙二段下亚段层序地层,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,2007
24,熊运斌|王德发|田世澄|李春玉|高有瑞|谭学群|,中国地质大学能源地质系|中国石油化工集团公司中原油田分公司勘探开发科学研究院 北京100083中国石油化工集团公司中原油田分公司勘探开发科学研究院|河南濮阳457001|北京100083|,地质科技情报,c5a6f064-833d-11e8-b508-408d5c0cc128,文南油田|沉积环境|地球化学|古生物|微相|,aa7c51f0-833d-11e8-98e2-408d5c0cc128,文南油田沙二下亚段沉积微相特征研究,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,2003
25,赵祥春|纪友亮|赵俊青|,同济大学|石油大学|石油大学 东营|,油气地质与采收率,c74f8df8-833d-11e8-9270-408d5c0cc128,层序地层学|模式|下第三系|沙三段|东濮凹陷|,aa7c51f0-833d-11e8-98e2-408d5c0cc128,东濮凹陷下第三系沙三段高频层序地层学模式,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,2003
26,郑鸿稳|,中原油田分公司勘探事业部 河南濮阳457001|,石油学报,c90c1f34-833d-11e8-ac87-408d5c0cc128,东濮凹陷|沙三段|层序地层学模式|储层分布|岩性油气藏|,aa7c51f0-833d-11e8-98e2-408d5c0cc128,东濮凹陷下第三系层序地层学模式,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,2002
27,Timothy A.Cross|,Colorado School of Mines!USA|,地学前缘,cb20c208-833d-11e8-ada5-408d5c0cc128,陆相盆地|地层控制|储层特征|河道砂岩|,aa7c51f0-833d-11e8-98e2-408d5c0cc128,地层因素对陆相沉积储层特征的控制(英文),http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,2000
28,邓宏文|王洪亮|李熙喆|,中国地质大学|北京石油勘探开发科学研究院|,石油与天然气地质,cca79418-833d-11e8-ac03-408d5c0cc128,层序地层|基准面旋回|识别|对比技术|等时对比|应用|,aa7c51f0-833d-11e8-98e2-408d5c0cc128,层序地层地层基准面的识别、对比技术及应用,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,1996
29,邓宏文|,中国地质大学|,石油与天然气地质,ce27ce6e-833d-11e8-b752-408d5c0cc128,高分辨率|层序地层学|基准面|体积划分|相分异|等时对比|,aa7c51f0-833d-11e8-98e2-408d5c0cc128,美国层序地层研究中的新学派──高分辨率层序地层学,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,1995
30,于涛|张金亮|张鹏辉|范忠礼|孙中强|薛欢欢|王梦琪|,山东科技大学地球科学与工程学院|北京师范大学资源学院|,中国科技论文,d12231e8-833d-11e8-9c8c-408d5c0cc128,地质学|文79块|沙二下亚段|沉积相|沉积环境|碎屑岩|粒度概率累积曲线|东濮凹陷|,,东濮凹陷文79断块沙二下亚段沉积环境粒度概率累积曲线特征,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-21-012,2015
